@relation missing_fixed(2)-weka.filters.supervised.instance.Resample-B0.0-S1-Z100.0

@attribute Year numeric
@attribute Month numeric
@attribute Day numeric
@attribute Temp numeric
@attribute TMax numeric
@attribute Tmin numeric
@attribute SLP numeric
@attribute Humidity numeric
@attribute PPresure numeric
@attribute VVisiblity numeric
@attribute VavgWindSpeed numeric
@attribute VMWindSpeed numeric
@attribute VGspeed numeric
@attribute RAin numeric
@attribute SNow numeric
@attribute TStrom numeric
@attribute FoG numeric
@attribute NowCast numeric
@attribute Raw numeric
@attribute AQI_CATEGORY {'very unhealthy ',hazardous,moderate,good,'moderate unhealthy ',unhealthy}

@data
2016,2,27,25.8,31.2,22,1015.7,57,0,3.2,0.7,3.5,0,2,0,0,8,77.74,78.47,'very unhealthy '
2017,3,1,26.7,31.5,17.9,1011.3,37,0,3.9,0.9,3.5,0,5,0,6,1,175.5125,182.291667,'very unhealthy '
2016,12,12,21.6,27.6,17.2,1013.3,70,0,3.5,1.2,3.6,0,0,0,0,0,137.3125,136.375,'very unhealthy '
2016,8,4,29.5,33.2,26.8,1001.3,78.1,172.98,4.8,2.1,5.5,0,18,0,4,0,19.279167,19.25,'very unhealthy '
2017,11,17,25.4,30.3,20.6,1011,64,5.85,4.3,1.6,5.4,0,3,0,0,0,30.066667,31.958333,'very unhealthy '
2016,8,23,29.5,33.2,26.8,1001.3,78.1,172.98,4.8,2.1,5.5,0,18,0,4,0,76.829167,78.916667,'very unhealthy '
2017,4,8,29.8,34,26,1007.6,76,0,4.5,1.9,5.4,0,9,0,7,0,60.466667,61.708333,'very unhealthy '
2017,1,25,22.3,29.4,14.4,1017.2,57,0,3.9,0,4.2,0,0,0,0,1,243.195833,247.833333,'very unhealthy '
2017,10,11,27.7,31.7,24.8,1006.9,79.4,349.75,4.3,2.3,6.3,0,9,0,1,0,42.7875,43.833333,'very unhealthy '
2019,7,30,28.6,31.6,26.9,1003,84,10.92,4.7,4.4,5.4,0,21,0,9,0,33.570833,35.083333,'very unhealthy '
2017,1,25,22.3,29.4,14.4,1017.2,57,0,3.9,0,4.2,0,0,0,0,1,243.195833,247.833333,'very unhealthy '
2017,2,7,23.7,29.4,18.5,1011.2,58,0.51,3.8,1.3,3.8,0,0,0,0,1,122.279167,122.583333,'very unhealthy '
2016,10,27,25.2,30.2,24.2,1011.9,89,45.72,4,2.2,9.4,0,11,0,6,0,46.933333,45.416667,'very unhealthy '
2017,8,24,29.2,32.4,26.8,1002.1,82.2,574.3,4.6,1,4.3,0,19,0,9,0,25.0125,17.5,'very unhealthy '
2016,4,20,30.9,35.9,28,1004.9,67,0,4.5,6.9,11.1,0,5,0,2,0,48.433333,48.125,'very unhealthy '
2016,8,25,31.8,36.1,25.8,1003,74,32.77,5.3,0,5.5,0,18,0,4,0,72.845833,70.833333,'very unhealthy '
2016,6,30,31,34.5,27.7,1003.7,70.3,10.17,4.7,3.1,5.7,0,4,0,3,0,32.7875,32.333333,'very unhealthy '
2018,11,21,23.6,29.7,18.9,1013.1,65.5,0,3.7,1.1,5.9,0,0,0,0,0,121.845833,120.5,'very unhealthy '
2017,6,6,29.3,33,26.3,1000.7,78.5,240.54,4.9,2.1,5.8,0,7,0,6,0,56.85,58.833333,'very unhealthy '
2017,3,28,27.4,30.6,24.8,1009.4,79,0,4.3,3.3,3.5,0,5,0,6,1,57.208333,55.708333,'very unhealthy '
